1.165	-8.87E-05
1.17	-7.48E-05
1.175	-6.84E-05
1.18	-5.80E-05
1.185	-7.36E-05
1.19	-9.18E-05
1.195	-8.71E-05
1.2	-8.07E-05
1.205	-7.47E-05
1.21	-8.26E-05
1.215	-8.90E-05
1.22	-9.10E-05
1.225	-7.42E-05
1.23	-6.70E-05
1.235	-6.66E-05
1.24	-5.39E-05
1.245	-6.62E-05
1.25	-6.34E-05
1.255	-5.54E-05
1.26	-4.90E-05
1.265	-4.07E-05
1.27	-6.45E-05
1.275	-7.49E-05
1.28	-6.89E-05
1.285	-7.28E-05
1.29	-7.32E-05
1.295	-7.16E-05
1.3	-6.13E-05
1.305	-6.08E-05
1.31	-8.19E-05
1.315	-6.72E-05
1.32	-5.16E-05
1.325	-7.27E-05
1.33	-7.43E-05
1.335	-7.27E-05
1.34	-8.34E-05
1.345	-8.42E-05
1.35	-9.06E-05
1.355	-9.13E-05
1.36	-7.50E-05
1.365	-6.70E-05
1.37	-6.94E-05
1.375	-5.78E-05
1.38	-4.79E-05
1.385	-5.54E-05
1.39	-6.06E-05
1.395	-5.82E-05
1.4	-6.81E-05
1.405	-7.33E-05
1.41	-6.93E-05
1.415	-7.08E-05
1.42	-5.45E-05
1.425	-4.65E-05
1.43	-6.00E-05
1.435	-6.96E-05
1.44	-6.16E-05
1.445	-6.16E-05
1.45	-7.75E-05
1.455	-7.63E-05
1.46	-7.39E-05
1.465	-6.99E-05
1.47	-7.42E-05
1.475	-8.30E-05
1.48	-7.42E-05
1.485	-6.54E-05
1.49	-6.66E-05
1.495	-7.34E-05
1.5	-6.10E-05
1.505	-5.66E-05
1.51	-6.93E-05
1.515	-6.69E-05
1.52	-6.25E-05
1.525	-4.98E-05
1.53	-4.98E-05
1.535	-6.76E-05
1.54	-8.43E-05
1.545	-1.03E-04
1.55	-9.90E-05
1.555	-8.35E-05
1.56	-7.87E-05
1.565	-7.51E-05
1.57	-7.19E-05
1.575	-7.51E-05
1.58	-9.18E-05
1.585	-9.26E-05
1.59	-6.35E-05
1.595	-7.06E-05
1.6	-7.02E-05
1.605	-6.26E-05
1.61	-8.45E-05
1.615	-8.49E-05
1.62	-9.08E-05
1.625	-8.80E-05
1.63	-7.97E-05
1.635	-7.37E-05
1.64	-5.97E-05
1.645	-6.13E-05
1.65	-6.13E-05
1.655	-7.68E-05
1.66	-8.35E-05
1.665	-6.20E-05
1.67	-5.28E-05
1.675	-4.57E-05
1.68	-4.17E-05
1.685	-6.99E-05
1.69	-6.99E-05
1.695	-5.55E-05
1.7	-6.59E-05
1.705	-5.11E-05
1.71	-6.18E-05
1.715	-6.98E-05
1.72	-5.03E-05
1.725	-5.26E-05
1.73	-6.69E-05
1.735	-7.93E-05
1.74	-6.69E-05
1.745	-7.29E-05
1.75	-6.37E-05
1.755	-4.38E-05
1.76	-7.60E-05
1.765	-7.20E-05
1.77	-5.13E-05
1.775	-6.28E-05
1.78	-7.51E-05
1.785	-8.70E-05
1.79	-7.03E-05
1.795	-6.55E-05
1.8	-6.63E-05
1.805	-6.71E-05
1.81	-7.82E-05
1.815	-5.91E-05
1.82	-7.26E-05
1.825	-6.70E-05
1.83	-6.46E-05
1.835	-9.40E-05
1.84	-6.49E-05
1.845	-5.66E-05
1.85	-7.52E-05
1.855	-6.89E-05
1.86	-7.00E-05
1.865	-9.03E-05
1.87	-8.07E-05
1.875	-5.80E-05
1.88	-6.56E-05
1.885	-6.40E-05
1.89	-6.23E-05
1.895	-5.91E-05
1.9	-4.36E-05
1.905	-3.92E-05
1.91	-4.00E-05
1.915	-4.55E-05
1.92	-5.67E-05
1.925	-7.10E-05
1.93	-6.18E-05
1.935	-6.57E-05
1.94	-8.20E-05
1.945	-6.21E-05
1.95	-7.09E-05
1.955	-8.84E-05
1.96	-8.12E-05
1.965	-8.95E-05
1.97	-8.07E-05
1.975	-6.96E-05
1.98	-8.15E-05
1.985	-8.70E-05
1.99	-8.82E-05
1.995	-8.26E-05
2	-8.18E-05
2.005	-8.74E-05
2.01	-8.02E-05
2.015	-7.06E-05
2.02	-7.97E-05
2.025	-8.57E-05
2.03	-7.09E-05
2.035	-6.45E-05
2.04	-5.77E-05
2.045	-6.45E-05
2.05	-5.45E-05
2.055	-4.02E-05
2.06	-6.88E-05
2.065	-5.96E-05
2.07	-6.08E-05
2.075	-6.83E-05
2.08	-4.33E-05
2.085	-4.72E-05
2.09	-4.48E-05
2.095	-5.04E-05
